RANK_ESTRATEGICO,SECCION,SUBCONJUNTO,LN_TOTAL,NIVEL_PRIORIDAD_OP,IRE_SCORE,PROB_MIN,PROB_MAX,ES_CERTEZA_SEC,certeza_en_todos,INDICE_RENTABILIDAD,fuerza_morena,PARTICIPACION_2024,fuerza_morena_norm,n_manzanas_sec,PROB_EMP_MZA_BASE
91,3082,S2,1311.0,P4_BAJA,0.3567466666666667,0.1194,0.8247,False,False,0.22181,0.29607250755287,0.7817,,8.0,0.13378
92,3064,S2,1185.0,P4_BAJA,0.32375,0.1065,0.7418,False,False,0.221681,0.3193069306930693,0.7211,,4.0,0.242812
93,3079,S2,1340.0,P4_BAJA,0.3642566666666667,0.1235,0.8345,False,False,0.2216,0.2911296436694465,0.7862,,16.0,0.068298
94,3051,S2,1318.0,P4_BAJA,0.3606299999999999,0.122,0.8259,False,False,0.219699,0.2914417887432536,0.7487,,9.0,0.12021
95,2987,S3,983.0,P4_BAJA,0.2305199999999999,0.09,0.4355,False,False,0.218411,0.4162487462387161,0.7452,,5.0,0.138312
96,3021,S3,1013.0,P4_BAJA,0.23924,0.0947,0.4612,False,False,0.217019,0.4013605442176871,0.6919,,7.0,0.102531
97,2990,S3,995.0,P4_BAJA,0.2337533333333333,0.094,0.4466,False,False,0.215443,0.4067278287461773,0.6922,,9.0,0.077918
98,3065,S3,992.0,P4_BAJA,0.2352266666666666,0.0884,0.4494,False,False,0.209206,0.3948155533399801,0.7338,,6.0,0.117613
99,3111,S3,1051.0,P4_BAJA,0.2487533333333333,0.0949,0.4736,False,False,0.208692,0.3762088974854932,0.7882,,7.0,0.106609
100,3009,S3,1010.0,P4_BAJA,0.2384133333333333,0.0912,0.4606,False,False,0.199877,0.3759920634920635,0.7748,,4.0,0.17881
101,3100,S3,1005.0,P4_BAJA,0.2356066666666666,0.0896,0.4593,False,False,0.197845,0.3764940239043824,0.7341,,5.0,0.141364
102,3116,S2,1244.0,P4_BAJA,0.3382166666666666,0.1158,0.7749,False,False,0.197319,0.2819237147595356,0.7662,,3.0,0.338217
103,3113,S3,915.0,P4_BAJA,0.2160333333333333,0.0861,0.4133,False,False,0.196431,0.4021505376344086,0.7097,,5.0,0.12962
104,3103,S3,886.0,P4_BAJA,0.2074866666666666,0.0803,0.3935,False,False,0.195585,0.4144661308840413,0.7394,,4.0,0.155615
