DISTRITO_LOCAL,CLAVE_DEM,DEMARCACIÓN TERRITORIAL,SECCIÓN,TOTAL DE CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,ELIGE,PES,RSP,FXM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,ROP,HAAC,PRMC,ECR,EVFA,AGP,RGS,CNR,VN,VOTACIÓN TOTAL,LISTA NOMINAL
33,8,LA MAGDALENA CONTRERAS,3057,1,193,101,9,5,2,15,56,3,3,1,0,10,1,0,0,0,0,0,0,,,,,,,,0,5,404,549
33,8,LA MAGDALENA CONTRERAS,3058,2,119,287,14,8,22,18,317,5,10,11,10,10,5,0,0,1,0,1,3,,,,,,,,0,24,865,1399
33,8,LA MAGDALENA CONTRERAS,3059,3,102,309,17,13,8,19,324,7,9,9,14,8,9,0,1,0,2,0,2,,,,,,,,1,17,871,1505
33,8,LA MAGDALENA CONTRERAS,3060,3,127,230,30,16,15,20,436,7,17,16,21,19,3,0,1,8,0,1,4,,,,,,,,0,25,996,1857
33,8,LA MAGDALENA CONTRERAS,3061,3,168,412,20,13,12,25,494,9,20,9,15,19,1,0,0,5,0,0,2,,,,,,,,1,24,1249,1999
33,8,LA MAGDALENA CONTRERAS,3062,3,245,447,17,10,14,18,305,2,18,3,15,22,3,0,1,1,2,2,2,,,,,,,,4,19,1150,1783
33,8,LA MAGDALENA CONTRERAS,3063,3,286,296,25,12,15,26,296,7,14,9,7,17,3,0,0,3,1,0,5,,,,,,,,1,18,1041,1685
33,8,LA MAGDALENA CONTRERAS,3064,2,100,265,11,12,17,26,176,10,14,7,7,12,0,0,1,2,0,2,4,,,,,,,,1,24,691,1178
33,8,LA MAGDALENA CONTRERAS,3065,2,52,157,15,6,9,13,206,5,8,7,12,2,6,0,0,1,0,0,0,,,,,,,,4,8,511,975
33,8,LA MAGDALENA CONTRERAS,3066,3,67,327,14,17,65,26,375,8,18,5,18,9,1,1,0,7,0,3,12,,,,,,,,1,29,1003,1913
33,8,LA MAGDALENA CONTRERAS,3067,3,49,244,17,11,34,24,372,5,16,5,14,8,0,0,0,0,0,5,0,,,,,,,,0,32,836,1578
33,8,LA MAGDALENA CONTRERAS,3068,3,84,314,19,17,26,30,366,14,31,5,12,10,4,0,0,3,1,0,8,,,,,,,,3,33,980,1966
33,8,LA MAGDALENA CONTRERAS,3069,3,98,279,15,16,26,26,289,19,16,8,17,9,2,1,2,0,0,0,3,,,,,,,,4,27,857,1598
33,8,LA MAGDALENA CONTRERAS,3070,2,70,272,14,13,13,17,258,5,12,2,11,9,0,0,1,0,0,0,0,,,,,,,,0,30,727,1348
33,8,LA MAGDALENA CONTRERAS,3071,3,78,330,15,11,18,172,282,13,13,8,15,5,3,0,2,5,0,3,8,,,,,,,,2,35,1018,2034
33,8,LA MAGDALENA CONTRERAS,3072,3,52,256,27,10,12,19,312,9,22,12,19,9,1,0,0,1,0,1,5,,,,,,,,1,33,801,1655
