"CLAVE
ENTIDAD","NOMBRE
ENTIDAD","CLAVE
DISTRITO",CABECERA DISTRITAL,"CLAVE
MUNICIPIO","NOMBRE
MUNICIPIO",SECCION,"PADRON
HOMBRES","PADRON
MUJERES","PADRON
NO BINARIO","PADRON
ELECTORAL","LISTA
HOMBRES","LISTA
MUJERES","LISTA
NO BINARIO","LISTA
NOMINAL",,Manzanas,,LN,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3000,556,682,0,1238,548,672,0,1220,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3026,548,686,0,1234,537,668,0,1205,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3102,585,629,0,1214,576,620,0,1196,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3064,571,632,0,1203,564,621,0,1185,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3056,538,654,0,1192,530,645,0,1175,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,2984,539,627,0,1166,534,620,0,1154,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3012,562,604,0,1166,549,599,0,1148,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3027,515,622,0,1137,510,616,0,1126,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,2996,558,579,0,1137,551,575,0,1126,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3084,546,571,0,1117,538,562,0,1100,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,2985,542,563,0,1105,536,557,0,1093,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3005,511,575,0,1086,499,570,0,1069,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3111,513,555,0,1068,506,545,0,1051,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3073,518,529,0,1047,511,519,0,1030,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,2998,474,562,0,1036,467,557,0,1024,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3021,472,560,0,1032,464,549,0,1013,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3009,492,543,0,1035,477,533,0,1010,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3007,512,516,0,1028,505,504,0,1009,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3100,491,526,0,1017,488,517,0,1005,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,2990,474,537,0,1011,465,530,0,995,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3065,482,525,0,1007,478,514,0,992,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,2999,461,549,0,1010,453,539,0,992,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,2995,476,526,0,1002,470,513,0,983,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,2987,478,521,0,999,471,512,0,983,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3043,458,529,0,987,449,521,0,970,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3044,429,519,0,948,420,514,0,934,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3113,437,495,0,932,432,483,0,915,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,2983,417,518,0,935,407,508,0,915,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3115,449,469,0,918,443,460,0,903,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3112,436,480,0,916,429,468,0,897,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3075,433,467,0,900,430,459,0,889,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3110,424,478,0,902,415,473,0,888,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3055,361,542,0,903,356,531,0,887,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3103,423,478,0,901,414,472,0,886,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3006,411,490,0,901,403,481,0,884,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3002,406,485,0,891,401,482,0,883,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3048,393,477,0,870,383,466,0,849,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,2981,375,481,0,856,366,475,0,841,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,2978,365,435,0,800,358,430,0,788,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,2976,350,444,0,794,346,438,0,784,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,2973,336,456,0,792,333,450,0,783,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3054,382,403,0,785,379,397,0,776,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,2974,361,405,0,766,355,404,0,759,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,2979,330,439,0,769,323,434,0,757,,,,,
